year,month,day,val
1971,1,1,5.9918508
1971,1,2,1.6226352
1971,1,3,2.8886976
1971,1,4,3.5234352
1971,1,5,1.4714352
1971,1,6,9.6553296
1971,1,7,2.0289636
1971,1,8,1.1765844
1971,1,9,0.57224016
1971,1,10,23.484924
1971,1,11,1.8807444
1971,1,12,10.0978056
1971,1,13,9.9094212
1971,1,14,3.4820928
1971,1,15,4.4850456
1971,1,16,7.7512032
1971,1,17,91.597068
1971,1,18,134.5464
1971,1,19,8.0830548
1971,1,20,5.1843996
1971,1,21,3.2179464
1971,1,22,3.313062
1971,1,23,2.0839356
1971,1,24,0.87150492
1971,1,25,0.22231584
1971,1,26,0.14181912
1971,1,27,1.7276436
1971,1,28,0.59286276
1971,1,29,6.3165744
1971,1,30,41.89158
1971,1,31,4.7472804
1971,2,1,2.8664496
1971,2,2,13.225572
1971,2,3,2.1455496
1971,2,4,0.32173416
1971,2,5,17.833716
1971,2,6,1.704024
1971,2,7,1.2073644
1971,2,8,1.424952
1971,2,9,1.3515444
1971,2,10,1.3966128
1971,2,11,0.49899132
1971,2,12,0.28016388
1971,2,13,0.38016324
1971,2,14,0.052515216
1971,2,15,0.7046028
1971,2,16,1.6052796
1971,2,17,1.2149568
1971,2,18,1.07723736
1971,2,19,0.56247696
1971,2,20,0.028252692
1971,2,21,1.2274524
1971,2,22,5.2847424
1971,2,23,3.6158076
1971,2,24,1.79712
1971,2,25,3.6846792
1971,2,26,2.7712584
1971,2,27,2.8458648
1971,2,28,8.3249748
1971,3,1,4.3358436
1971,3,2,0.30918132
1971,3,3,1.4199084
1971,3,4,3.00213
1971,3,5,1.8302868
1971,3,6,2.5272108
1971,3,7,4.0880052
1971,3,8,4.056858
1971,3,9,0.28770012
1971,3,10,0.02222532
1971,3,11,0.003443472
1971,3,12,0.13422024
1971,3,13,3.2976504
1971,3,14,0.33773436
1971,3,15,2.696814
1971,3,16,2.5819236
1971,3,17,2.5825824
1971,3,18,0.080529552
1971,3,19,0.068610996
1971,3,20,0.020383164
1971,3,21,0.040853916
1971,3,22,2.878416
1971,3,23,2.2229964
1971,3,24,5.7940272
1971,3,25,4.0172112
1971,3,26,0.018991152
1971,3,27,0.0006724242
1971,3,28,4.6116324e-06
1971,3,29,0.102830796
1971,3,30,0.57244752
1971,3,31,2.8312092
1971,4,1,17.506908
1971,4,2,0.83749464
1971,4,3,0.39094812
1971,4,4,3.3905196
1971,4,5,1.4912856
1971,4,6,0.7970994
1971,4,7,0.47187036
1971,4,8,1.1722644
1971,4,9,1.5553188
1971,4,10,0.42031548
1971,4,11,1.501092
1971,4,12,2.6051004
1971,4,13,2.0986992
1971,4,14,1.8674712
1971,4,15,1.4981112
1971,4,16,0.73891008
1971,4,17,0.28010988
1971,4,18,0.1450926
1971,4,19,0.041854968
1971,4,20,0.013064652
1971,4,21,0.0046674684
1971,4,22,0.54577584
1971,4,23,0.28028484
1971,4,24,0.32606712
1971,4,25,2.4216624
1971,4,26,1.9950192
1971,4,27,5.4660096
1971,4,28,0.27267732
1971,4,29,1.07621568
1971,4,30,0.2897532
1971,5,1,0.7297236
1971,5,2,0.48095208
1971,5,3,1.0334628
1971,5,4,0.18439272
1971,5,5,8.306064
1971,5,6,11.33352
1971,5,7,3.5307468
1971,5,8,0.97831368
1971,5,9,3.7979064
1971,5,10,11.586564
1971,5,11,4.6864764
1971,5,12,2.8100844
1971,5,13,7.9491888
1971,5,14,2.008854
1971,5,15,0.37509912
1971,5,16,2.6444664
1971,5,17,5.3156736
1971,5,18,0.060281712
1971,5,19,0.46763136
1971,5,20,0.022313988
1971,5,21,1.2304872
1971,5,22,1.775466
1971,5,23,0.57371652
1971,5,24,0.021160224
1971,5,25,3.2145984
1971,5,26,8.6109048
1971,5,27,21.455712
1971,5,28,23.370336
1971,5,29,23.85612
1971,5,30,21.865788
1971,5,31,24.441804
1971,6,1,12.409524
1971,6,2,2.805138
1971,6,3,29.522448
1971,6,4,57.583332
1971,6,5,57.808728
1971,6,6,12.766788
1971,6,7,5.3371332
1971,6,8,27.664416
1971,6,9,12.690648
1971,6,10,9.2364192
1971,6,11,6.0903144
1971,6,12,14.469408
1971,6,13,32.888808
1971,6,14,13.72626
1971,6,15,9.1747512
1971,6,16,26.153388
1971,6,17,29.302344
1971,6,18,32.221908
1971,6,19,37.373724
1971,6,20,33.751728
1971,6,21,29.937384
1971,6,22,30.108888
1971,6,23,18.201888
1971,6,24,17.241012
1971,6,25,14.260644
1971,6,26,23.275404
1971,6,27,16.274088
1971,6,28,7.3301652
1971,6,29,12.79206
1971,6,30,6.9543252
1971,7,1,13.580352
1971,7,2,19.756656
1971,7,3,11.65644
1971,7,4,5.45778
1971,7,5,5.4599184
1971,7,6,2.2367232
1971,7,7,3.64824
1971,7,8,5.6369196
1971,7,9,15.978492
1971,7,10,25.993764
1971,7,11,21.890196
1971,7,12,18.723636
1971,7,13,13.411008
1971,7,14,23.879016
1971,7,15,19.582668
1971,7,16,21.2409
1971,7,17,9.0872712
1971,7,18,7.7265468
1971,7,19,24.57972
1971,7,20,9.005094
1971,7,21,10.71387
1971,7,22,25.08408
1971,7,23,8.6547636
1971,7,24,10.4602536
1971,7,25,16.335
1971,7,26,13.255056
1971,7,27,18.088596
1971,7,28,16.782876
1971,7,29,10.7007372
1971,7,30,5.1111324
1971,7,31,5.9288868
1971,8,1,8.1475308
1971,8,2,7.6263336
1971,8,3,6.5144844
1971,8,4,14.717484
1971,8,5,24.377004
1971,8,6,22.499532
1971,8,7,6.7629168
1971,8,8,13.08852
1971,8,9,15.341508
1971,8,10,15.7059
1971,8,11,6.973236
1971,8,12,4.9707972
1971,8,13,3.789828
1971,8,14,6.5158344
1971,8,15,3.256578
1971,8,16,3.4461828
1971,8,17,2.0580804
1971,8,18,0.15933672
1971,8,19,3.8016
1971,8,20,14.059656
1971,8,21,21.343824
1971,8,22,17.100288
1971,8,23,5.4978048
1971,8,24,7.4992392
1971,8,25,4.3077852
1971,8,26,1.1815416
1971,8,27,2.8472796
1971,8,28,3.5448192
1971,8,29,7.9453116
1971,8,30,11.818764
1971,8,31,6.4489716
1971,9,1,4.446738
1971,9,2,19.130904
1971,9,3,8.3618784
1971,9,4,17.244036
1971,9,5,3.888918
1971,9,6,5.3947944
1971,9,7,5.2382808
1971,9,8,11.196252
1971,9,9,4.9237632
1971,9,10,5.3784108
1971,9,11,10.1770884
1971,9,12,8.1989172
1971,9,13,5.3587008
1971,9,14,19.240524
1971,9,15,19.999008
1971,9,16,21.973356
1971,9,17,25.88166
1971,9,18,18.941796
1971,9,19,11.61486
1971,9,20,8.1607284
1971,9,21,7.4253456
1971,9,22,30.120876
1971,9,23,32.481648
1971,9,24,75.928536
1971,9,25,27.27864
1971,9,26,12.439656
1971,9,27,9.42354
1971,9,28,8.4692736
1971,9,29,11.783124
1971,9,30,44.530992
1971,10,1,33.156756
1971,10,2,15.69294
1971,10,3,21.131388
1971,10,4,25.001568
1971,10,5,22.840164
1971,10,6,17.169408
1971,10,7,25.42914
1971,10,8,22.800636
1971,10,9,10.990296
1971,10,10,11.793168
1971,10,11,5.1214248
1971,10,12,4.68072
1971,10,13,10.6673328
1971,10,14,11.520144
1971,10,15,24.382944
1971,10,16,12.092868
