year,month,day,val
1971,1,1,28.984
1971,1,2,28.9570000000001
1971,1,3,28.929
1971,1,4,28.902
1971,1,5,28.874
1971,1,6,28.847
1971,1,7,28.819
1971,1,8,28.792
1971,1,9,28.764
1971,1,10,28.737
1971,1,11,28.709
1971,1,12,28.682
1971,1,13,28.654
1971,1,14,28.627
1971,1,15,28.599
1971,1,16,28.572
1971,1,17,28.544
1971,1,18,28.517
1971,1,19,28.489
1971,1,20,28.462
1971,1,21,28.434
1971,1,22,28.407
1971,1,23,28.379
1971,1,24,28.352
1971,1,25,28.324
1971,1,26,28.297
1971,1,27,28.269
1971,1,28,28.242
1971,1,29,28.214
1971,1,30,28.187
1971,1,31,28.159
1971,2,1,28.13
1971,2,2,28.1
1971,2,3,28.0700000000001
1971,2,4,28.04
1971,2,5,28.01
1971,2,6,27.98
1971,2,7,27.95
1971,2,8,27.92
1971,2,9,27.89
1971,2,10,27.86
1971,2,11,27.83
1971,2,12,27.8
1971,2,13,27.77
1971,2,14,27.74
1971,2,15,27.71
1971,2,16,27.68
1971,2,17,27.65
1971,2,18,27.62
1971,2,19,27.589
1971,2,20,27.559
1971,2,21,27.529
1971,2,22,27.499
1971,2,23,27.4690000000001
1971,2,24,27.439
1971,2,25,27.409
1971,2,26,27.379
1971,2,27,27.349
1971,2,28,27.319
1971,3,1,27.335
1971,3,2,27.378
1971,3,3,27.421
1971,3,4,27.464
1971,3,5,27.507
1971,3,6,27.55
1971,3,7,27.593
1971,3,8,27.635
1971,3,9,27.678
1971,3,10,27.721
1971,3,11,27.764
1971,3,12,27.807
1971,3,13,27.85
1971,3,14,27.893
1971,3,15,27.936
1971,3,16,27.979
1971,3,17,28.022
1971,3,18,28.065
1971,3,19,28.108
1971,3,20,28.151
1971,3,21,28.194
1971,3,22,28.237
1971,3,23,28.28
1971,3,24,28.323
1971,3,25,28.366
1971,3,26,28.409
1971,3,27,28.452
1971,3,28,28.494
1971,3,29,28.537
1971,3,30,28.58
1971,3,31,28.623
1971,4,1,28.67
1971,4,2,28.718
1971,4,3,28.767
1971,4,4,28.815
1971,4,5,28.864
1971,4,6,28.913
1971,4,7,28.961
1971,4,8,29.01
1971,4,9,29.058
1971,4,10,29.107
1971,4,11,29.155
1971,4,12,29.204
1971,4,13,29.253
1971,4,14,29.301
1971,4,15,29.35
1971,4,16,29.398
1971,4,17,29.447
1971,4,18,29.495
1971,4,19,29.544
1971,4,20,29.592
1971,4,21,29.641
1971,4,22,29.69
1971,4,23,29.738
1971,4,24,29.787
1971,4,25,29.835
1971,4,26,29.884
1971,4,27,29.932
1971,4,28,29.981
1971,4,29,30.03
1971,4,30,30.078
1971,5,1,30.084
1971,5,2,30.065
1971,5,3,30.045
1971,5,4,30.026
1971,5,5,30.006
1971,5,6,29.987
1971,5,7,29.967
1971,5,8,29.948
1971,5,9,29.928
1971,5,10,29.909
1971,5,11,29.889
1971,5,12,29.869
1971,5,13,29.85
1971,5,14,29.83
1971,5,15,29.811
1971,5,16,29.791
1971,5,17,29.772
1971,5,18,29.752
1971,5,19,29.733
1971,5,20,29.713
1971,5,21,29.694
1971,5,22,29.674
1971,5,23,29.655
1971,5,24,29.635
1971,5,25,29.616
1971,5,26,29.596
1971,5,27,29.577
1971,5,28,29.557
1971,5,29,29.538
1971,5,30,29.518
1971,5,31,29.499
1971,6,1,29.475
1971,6,2,29.448
1971,6,3,29.422
1971,6,4,29.395
1971,6,5,29.369
1971,6,6,29.342
1971,6,7,29.316
1971,6,8,29.289
1971,6,9,29.263
1971,6,10,29.236
1971,6,11,29.21
1971,6,12,29.183
1971,6,13,29.157
1971,6,14,29.13
1971,6,15,29.104
1971,6,16,29.077
1971,6,17,29.051
1971,6,18,29.024
1971,6,19,28.998
1971,6,20,28.971
1971,6,21,28.9450000000001
1971,6,22,28.918
1971,6,23,28.892
1971,6,24,28.865
1971,6,25,28.839
1971,6,26,28.812
1971,6,27,28.786
1971,6,28,28.759
1971,6,29,28.733
1971,6,30,28.706
1971,7,1,28.713
1971,7,2,28.739
1971,7,3,28.765
1971,7,4,28.791
1971,7,5,28.817
1971,7,6,28.843
1971,7,7,28.869
1971,7,8,28.895
1971,7,9,28.922
1971,7,10,28.948
1971,7,11,28.974
1971,7,12,29
1971,7,13,29.026
1971,7,14,29.052
1971,7,15,29.078
1971,7,16,29.104
1971,7,17,29.13
1971,7,18,29.156
1971,7,19,29.183
1971,7,20,29.209
1971,7,21,29.235
1971,7,22,29.261
1971,7,23,29.287
1971,7,24,29.313
1971,7,25,29.339
1971,7,26,29.365
1971,7,27,29.391
1971,7,28,29.417
1971,7,29,29.444
1971,7,30,29.47
1971,7,31,29.496
1971,8,1,29.525
1971,8,2,29.555
1971,8,3,29.586
1971,8,4,29.616
1971,8,5,29.647
1971,8,6,29.677
1971,8,7,29.708
1971,8,8,29.739
1971,8,9,29.769
1971,8,10,29.8
1971,8,11,29.83
1971,8,12,29.861
1971,8,13,29.891
1971,8,14,29.922
1971,8,15,29.952
1971,8,16,29.983
1971,8,17,30.014
1971,8,18,30.044
1971,8,19,30.075
1971,8,20,30.105
1971,8,21,30.136
1971,8,22,30.166
1971,8,23,30.197
1971,8,24,30.228
1971,8,25,30.258
1971,8,26,30.289
1971,8,27,30.319
1971,8,28,30.35
1971,8,29,30.38
1971,8,30,30.411
1971,8,31,30.441
1971,9,1,30.449
1971,9,2,30.442
1971,9,3,30.435
1971,9,4,30.428
1971,9,5,30.421
1971,9,6,30.414
1971,9,7,30.407
1971,9,8,30.4
1971,9,9,30.393
1971,9,10,30.386
1971,9,11,30.379
1971,9,12,30.372
1971,9,13,30.365
1971,9,14,30.358
1971,9,15,30.351
1971,9,16,30.3440000000001
1971,9,17,30.337
1971,9,18,30.33
1971,9,19,30.323
1971,9,20,30.316
1971,9,21,30.309
1971,9,22,30.302
1971,9,23,30.295
1971,9,24,30.288
1971,9,25,30.281
1971,9,26,30.274
1971,9,27,30.267
1971,9,28,30.26
1971,9,29,30.253
1971,9,30,30.246
1971,10,1,30.23
