year,month,day,val
1971,1,1,20.2532
1971,1,2,47.0687
1971,1,3,21.4822
1971,1,4,34.3958
1971,1,5,52.2094
1971,1,6,36.6287
1971,1,7,1.82647
1971,1,8,0.470713
1971,1,9,0.380088
1971,1,10,0.138599
1971,1,11,0
1971,1,12,0
1971,1,13,0.395767
1971,1,14,1.81664
1971,1,15,0.218474
1971,1,16,0.438694
1971,1,17,0.227187
1971,1,18,4.84906
1971,1,19,0.0533125
1971,1,20,0.389952
1971,1,21,2.33969
1971,1,22,1.43399
1971,1,23,1.04871
1971,1,24,1.22315
1971,1,25,1.20257
1971,1,26,0.176292
1971,1,27,38.4425
1971,1,28,20.5313
1971,1,29,10.2168
1971,1,30,14.6638
1971,1,31,31.3695
1971,2,1,0.764417
1971,2,2,2.91947
1971,2,3,17.3278
1971,2,4,9.65013
1971,2,5,7.572
1971,2,6,3.82901
1971,2,7,10.9302
1971,2,8,12.5104
1971,2,9,19.0191
1971,2,10,15.9286
1971,2,11,29.1694
1971,2,12,1.1832
1971,2,13,0.357062
1971,2,14,13.4606
1971,2,15,19.6955
1971,2,16,19.8485
1971,2,17,22.8638
1971,2,18,1.4417
1971,2,19,13.7323
1971,2,20,5.70782
1971,2,21,18.6161
1971,2,22,12.3351
1971,2,23,1.53979
1971,2,24,0.0103119
1971,2,25,0
1971,2,26,2.64364
1971,2,27,0.690327
1971,2,28,5.13214
1971,3,1,1.23167
1971,3,2,0
1971,3,3,0
1971,3,4,0.25976
1971,3,5,0.450831
1971,3,6,1.84628
1971,3,7,9.5766
1971,3,8,5.01899
1971,3,9,23.8597
1971,3,10,43.2626
1971,3,11,4.25889
1971,3,12,14.12
1971,3,13,4.00157
1971,3,14,16.5744
1971,3,15,82.8793
1971,3,16,16.3136
1971,3,17,1.27004
1971,3,18,4.10631
1971,3,19,0.369677
1971,3,20,0
1971,3,21,0
1971,3,22,0
1971,3,23,0
1971,3,24,1.34086
1971,3,25,1.77956
1971,3,26,0.851546
1971,3,27,39.2519
1971,3,28,1.33582
1971,3,29,0.802813
1971,3,30,0
1971,3,31,0
1971,4,1,0.0731019
1971,4,2,2.09768
1971,4,3,0
1971,4,4,0.0985785
1971,4,5,1.82393
1971,4,6,3.09997
1971,4,7,1.68104
1971,4,8,0.103681
1971,4,9,0
1971,4,10,1.86648
1971,4,11,1.16647
1971,4,12,1.47472
1971,4,13,0.0621323
1971,4,14,0.313883
1971,4,15,0
1971,4,16,0
1971,4,17,0
1971,4,18,0
1971,4,19,7.05767
1971,4,20,0.646837
1971,4,21,5.94714
1971,4,22,9.18213
1971,4,23,42.9345
1971,4,24,134.653
1971,4,25,1.67655
1971,4,26,0.964326
1971,4,27,0.167717
1971,4,28,5.84527
1971,4,29,2.60842
1971,4,30,36.4291
1971,5,1,28.0546
1971,5,2,0.734329
1971,5,3,2.60576
1971,5,4,0.213515
1971,5,5,0
1971,5,6,0.888223
1971,5,7,3.06161
1971,5,8,4.58787
1971,5,9,6.56618
1971,5,10,2.41816
