year,month,day,val
1971,1,1,26.7852
1971,1,2,26.9345
1971,1,3,26.9447
1971,1,4,26.9648
1971,1,5,26.5091
1971,1,6,26.1467
1971,1,7,26.1248
1971,1,8,26.2957
1971,1,9,27.2389
1971,1,10,25.3598
1971,1,11,24.1804
1971,1,12,24.1463
1971,1,13,25.3437
1971,1,14,24.5889
1971,1,15,25.061
1971,1,16,25.8939
1971,1,17,26.6723
1971,1,18,27.13
1971,1,19,26.2878
1971,1,20,26.9062
1971,1,21,26.5016
1971,1,22,27.1336
1971,1,23,27.1631
1971,1,24,27.2413
1971,1,25,26.2455
1971,1,26,26.4799
1971,1,27,26.6047
1971,1,28,26.4709
1971,1,29,26.919
1971,1,30,26.7417
1971,1,31,26.4028
1971,2,1,27.0797
1971,2,2,26.3223
1971,2,3,26.4664
1971,2,4,26.4411
1971,2,5,25.9196
1971,2,6,25.8309
1971,2,7,26.483
1971,2,8,26.1935
1971,2,9,26.1291
1971,2,10,26.7144
1971,2,11,26.5439
1971,2,12,25.7179
1971,2,13,26.2954
1971,2,14,27.4506
1971,2,15,26.6358
1971,2,16,26.254
1971,2,17,26.5961
1971,2,18,27.1128
1971,2,19,26.0578
1971,2,20,27.0303
1971,2,21,28.0231
1971,2,22,26.5467
1971,2,23,26.217
1971,2,24,26.9572
1971,2,25,26.7623
1971,2,26,26.8738
1971,2,27,26.7681
1971,2,28,26.0837
1971,3,1,26.513
1971,3,2,26.6213
1971,3,3,26.4938
1971,3,4,26.5513
1971,3,5,25.967
1971,3,6,26.3608
1971,3,7,26.9564
1971,3,8,26.5028
1971,3,9,25.9537
1971,3,10,26.5642
1971,3,11,27.2221
1971,3,12,26.7073
1971,3,13,26.8263
1971,3,14,28.0828
1971,3,15,26.331
1971,3,16,26.3436
1971,3,17,26.9137
1971,3,18,26.1189
1971,3,19,26.0238
1971,3,20,26.26
1971,3,21,24.9618
1971,3,22,25.304
1971,3,23,25.5858
1971,3,24,26.2307
1971,3,25,27.7466
1971,3,26,27.388
1971,3,27,27.5955
1971,3,28,27.9477
1971,3,29,27.3788
1971,3,30,27.8412
1971,3,31,27.8458
1971,4,1,27.0553
1971,4,2,27.4778
1971,4,3,27.9799
1971,4,4,26.8627
1971,4,5,27.216
1971,4,6,27.8955
1971,4,7,27.312
1971,4,8,28.033
1971,4,9,25.8261
1971,4,10,26.8188
1971,4,11,26.3358
1971,4,12,26.6019
1971,4,13,26.0515
1971,4,14,25.0275
1971,4,15,24.9335
1971,4,16,26.5798
1971,4,17,26.4316
1971,4,18,27.3506
1971,4,19,28.0678
1971,4,20,27.4559
1971,4,21,27.8567
1971,4,22,27.4297
1971,4,23,27.2577
1971,4,24,27.9403
1971,4,25,26.1438
1971,4,26,27.1768
1971,4,27,27.0853
1971,4,28,27.0877
1971,4,29,27.7129
1971,4,30,26.9856
1971,5,1,27.4486
1971,5,2,26.5811
1971,5,3,27.2906
1971,5,4,28.5576
1971,5,5,26.4285
1971,5,6,27.4534
1971,5,7,27.3566
1971,5,8,27.9384
1971,5,9,28.1106
1971,5,10,27.0726
1971,5,11,27.054
1971,5,12,27.4199
1971,5,13,26.8687
1971,5,14,26.7798
1971,5,15,27.0305
1971,5,16,25.9554
1971,5,17,26.8155
1971,5,18,27.3855
1971,5,19,26.9524
1971,5,20,27.2014
1971,5,21,27.3611
1971,5,22,27.8129
1971,5,23,26.5906
1971,5,24,27.2053
1971,5,25,27.1734
1971,5,26,27.1918
1971,5,27,27.8824
1971,5,28,28.4108
1971,5,29,28.4826
1971,5,30,28.1047
1971,5,31,27.9743
1971,6,1,27.1195
1971,6,2,27.3787
1971,6,3,27.7345
1971,6,4,27.6807
1971,6,5,27.316
1971,6,6,26.9417
1971,6,7,25.8011
1971,6,8,27.0177
1971,6,9,26.189
1971,6,10,27.4909
1971,6,11,26.1823
1971,6,12,24.7121
1971,6,13,26.7898
1971,6,14,27.021
1971,6,15,26.7462
1971,6,16,27.4214
1971,6,17,27.1958
1971,6,18,26.6254
1971,6,19,24.3461
1971,6,20,26.4198
1971,6,21,25.8696
1971,6,22,26.2402
1971,6,23,26.9039
1971,6,24,27.1822
1971,6,25,25.7132
1971,6,26,26.1156
1971,6,27,27.4385
1971,6,28,27.1638
1971,6,29,26.7111
1971,6,30,26.5978
1971,7,1,26.4402
1971,7,2,26.9768
1971,7,3,24.6931
1971,7,4,25.7219
1971,7,5,26.8165
1971,7,6,26.4364
1971,7,7,26.2006
1971,7,8,24.4082
1971,7,9,25.6057
1971,7,10,27.1345
1971,7,11,27.2887
1971,7,12,26.4658
1971,7,13,27.5102
1971,7,14,25.0653
1971,7,15,25.9447
1971,7,16,26.8029
1971,7,17,27.3197
1971,7,18,26.1845
1971,7,19,25.9433
1971,7,20,26.4473
1971,7,21,27.1605
1971,7,22,27.9997
1971,7,23,27.0072
1971,7,24,26.7747
1971,7,25,27.2882
1971,7,26,27.4264
1971,7,27,27.3709
1971,7,28,26.7819
1971,7,29,25.5446
1971,7,30,26.5307
1971,7,31,27.5175
1971,8,1,26.9802
1971,8,2,26.7708
1971,8,3,26.3037
1971,8,4,27.0927
1971,8,5,26.8019
1971,8,6,27.0455
1971,8,7,27.1026
1971,8,8,26.935
1971,8,9,27.364
1971,8,10,26.6982
1971,8,11,26.9136
1971,8,12,26.3826
1971,8,13,26.8519
1971,8,14,27.2688
1971,8,15,26.8516
1971,8,16,27.1819
1971,8,17,27.2789
1971,8,18,26.0766
1971,8,19,26.6248
1971,8,20,27.0402
1971,8,21,26.0595
1971,8,22,26.4301
1971,8,23,27.3855
1971,8,24,26.6938
1971,8,25,26.6991
1971,8,26,26.803
1971,8,27,26.3856
1971,8,28,26.4469
1971,8,29,26.7541
1971,8,30,25.293
1971,8,31,26.2035
1971,9,1,26.6717
1971,9,2,26.9274
1971,9,3,27.6098
1971,9,4,26.2817
1971,9,5,27.2041
1971,9,6,26.7638
1971,9,7,26.7758
1971,9,8,27.0165
1971,9,9,27.1132
1971,9,10,26.4212
1971,9,11,27.2345
1971,9,12,27.2362
1971,9,13,27.3324
1971,9,14,26.4912
1971,9,15,26.9949
1971,9,16,27.2321
1971,9,17,27.4826
1971,9,18,27.8828
1971,9,19,27.7549
1971,9,20,28.3009
1971,9,21,28.148
1971,9,22,27.7486
1971,9,23,27.2755
1971,9,24,26.7464
1971,9,25,27.7667
1971,9,26,26.6787
1971,9,27,26.3396
1971,9,28,26.395
1971,9,29,27.1465
1971,9,30,27.2541
1971,10,1,28.7482
1971,10,2,27.0478
1971,10,3,25.854
1971,10,4,27.088
1971,10,5,27.7786
1971,10,6,27.1555
1971,10,7,27.605
1971,10,8,26.3423
1971,10,9,27.6971
1971,10,10,26.464
1971,10,11,26.465
1971,10,12,26.6667
1971,10,13,26.5036
1971,10,14,26.9117
1971,10,15,27.1077
1971,10,16,27.3034
1971,10,17,26.9089
1971,10,18,26.7445
1971,10,19,26.349
1971,10,20,26.9123
1971,10,21,25.3783
1971,10,22,27.3995
1971,10,23,27.1259
1971,10,24,25.9194
1971,10,25,26.4038
1971,10,26,26.7482
1971,10,27,27.042
1971,10,28,26.2729
1971,10,29,26.7865
1971,10,30,26.703
1971,10,31,27.4338
1971,11,1,26.6463
1971,11,2,27.1893
1971,11,3,26.8167
1971,11,4,26.7974
1971,11,5,26.7579
1971,11,6,26.4276
1971,11,7,26.5783
1971,11,8,27.0494
1971,11,9,26.7469
1971,11,10,25.9552
1971,11,11,26.0839
1971,11,12,26.6417
1971,11,13,26.5765
1971,11,14,26.6213
1971,11,15,26.7011
1971,11,16,27.5656
1971,11,17,26.7157
1971,11,18,27.1301
1971,11,19,27.0338
1971,11,20,26.9824
1971,11,21,26.4578
1971,11,22,27.5871
1971,11,23,26.4275
1971,11,24,26.8505
1971,11,25,25.901
1971,11,26,26.3924
1971,11,27,27.066
1971,11,28,27.0437
1971,11,29,26.0181
1971,11,30,26.8859
1971,12,1,27.4162
1971,12,2,26.9443
1971,12,3,26.8642
1971,12,4,26.8915
1971,12,5,27.3168
1971,12,6,27.6849
1971,12,7,27.0053
1971,12,8,27.0347
1971,12,9,27.0524
1971,12,10,26.8095
1971,12,11,26.8272
1971,12,12,26.4439
1971,12,13,27.3791
1971,12,14,27.81
1971,12,15,27.0286
1971,12,16,26.6972
1971,12,17,27.0393
1971,12,18,26.3141
1971,12,19,27.2418
1971,12,20,27.1948
1971,12,21,27.1214
1971,12,22,27.0589
1971,12,23,26.7873
1971,12,24,26.6094
1971,12,25,26.622
1971,12,26,25.6159
1971,12,27,26.6185
1971,12,28,25.6477
1971,12,29,26.1919
1971,12,30,26.527
1971,12,31,27.2269
1972,1,1,26.2931
1972,1,2,26.3075
1972,1,3,26.7568
1972,1,4,27.6961
1972,1,5,25.9579
1972,1,6,26.2287
1972,1,7,25.7123
1972,1,8,26.7731
1972,1,9,26.8939
1972,1,10,25.4632
1972,1,11,24.7345
1972,1,12,24.9996
1972,1,13,24.6068
1972,1,14,24.3289
1972,1,15,25.7697
1972,1,16,26.357
1972,1,17,25.8036
1972,1,18,26.379
1972,1,19,26.4283
1972,1,20,26.0149
1972,1,21,26.9908
1972,1,22,26.6888
1972,1,23,26.7375
1972,1,24,27.1368
1972,1,25,27.2491
1972,1,26,26.5835
1972,1,27,27.0439
1972,1,28,26.6592
1972,1,29,27.0638
1972,1,30,27.0259
1972,1,31,26.1106
1972,2,1,26.8216
1972,2,2,26.4686
1972,2,3,26.5122
1972,2,4,26.0343
1972,2,5,27.143
1972,2,6,27.7739
1972,2,7,26.9273
1972,2,8,27.4939
1972,2,9,25.7155
1972,2,10,26.8292
1972,2,11,26.9754
1972,2,12,27.299
1972,2,13,26.868
1972,2,14,27.0905
1972,2,15,26.9614
1972,2,16,27.4464
1972,2,17,26.7912
1972,2,18,27.4672
1972,2,19,27.5102
1972,2,20,27.2344
1972,2,21,26.0923
1972,2,22,26.1805
1972,2,23,26.8886
1972,2,24,26.6402
1972,2,25,26.0571
1972,2,26,26.0709
1972,2,27,26.329
1972,2,28,26.5505
1972,2,29,25.6466
1972,3,1,26.7848
1972,3,2,25.8677
1972,3,3,26.1434
1972,3,4,27.0723
1972,3,5,25.5543
1972,3,6,26.1036
1972,3,7,25.9783
1972,3,8,25.9555
1972,3,9,26.4261
1972,3,10,26.0716
1972,3,11,25.826
1972,3,12,25.0648
1972,3,13,25.4953
1972,3,14,27.2085
1972,3,15,26.0576
1972,3,16,24.3875
1972,3,17,26.2495
1972,3,18,25.1879
1972,3,19,26.2948
1972,3,20,26.6573
1972,3,21,26.9566
1972,3,22,27.1549
1972,3,23,26.9207
1972,3,24,27.1597
1972,3,25,25.7351
1972,3,26,26.876
